"","year","newspaper","fepesc","UNIVALI","estaleirinho","cpue","fleet_size"
"1",2000,0,0,2517.29,0,15.0735928143713,79
"2",2001,8.1,0,935.796,0,11.2746506024096,64
"3",2002,7.4,0,1316.296,0,6.92787368421053,103
"4",2003,153.9,1074.79,2382.666,0,17.1414820143885,98
"5",2004,79.3,765.988,2619.951,14.12,15.4114764705882,107
"6",2005,14.3,636.305,3113.992,1.3216,17.6931363636364,115
"7",2006,55.3,1124.046,1078.23,6.8752,8.69540322580645,82
"8",2007,98.2,2107.455,6374.96,9.72,27.7172173913043,130
"9",2008,58.3,493.377,2013.509,7.488,13.5134832214765,103
"10",2009,100.7,1208.087,4116.436,13.2384,19.2356822429907,120
"11",2010,94.9,702.067,3303.305,4.896,18.557893258427,124
"12",2011,108.2,617.795,2982.714,0.576,25.4932820512821,62
"13",2012,16.3,425.704,1567.164,2.688,14.7845660377358,74
"14",2013,16,1213.088,1216.882,5.0752,16.4443513513514,54
"15",2014,4.9,1001.436,1171.891,4.664,17.4909104477612,55
"16",2015,11.5,1311.57,2004.62,4.144,19.091619047619,70
"17",2016,58,3543.206,839.049,34.472,46.6138333333333,12
